AN;MOIS;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;06;468;588;719;2,5;13,6;68;0
1990;06;32055;30704;4151;110,2;476,9;2614;0
1990;06;451;431;0;8,2;4,7;32;0
1990;06;423;449;233;1,8;3,8;54;0
1990;06;588;557;18;2,9;3,9;47;0
1990;06;4878;4931;268;1,7;8;340;0
1990;06;1512;1532;970;9,3;6,5;177;0
1990;06;1848;1871;2284;1;3,5;258;0
1990;06;7247;6838;647;0;0,1;1713;0
1990;06;449;537;0;0,7;2;40;0
1990;06;3011;2819;1143;2,7;11,7;262;0
1990;06;2638;2501;0;3,2;10,2;215;0
1990;06;3088;2824;35;3,4;26,8;260;0
1990;06;7724;8429;0;60,7;10,2;925;0
1990;06;1396;1281;32;2,6;11,5;154;0
1990;06;832;835;0;1,8;9,2;100;0
1990;06;8886;10597;593;178,6;369,5;200;0
1990;06;13382;11062;3431;240,2;581,4;627;48
1990;06;743;459;0;3,7;0,6;164;8
1990;06;43089;48613;8922;469,8;423,2;1996;101
1990;06;916;883;0;1,1;6,5;401;0
1990;06;4408;4530;189;2;8,9;1112;0
1990;06;1350;1448;0;0,9;4,1;214;0
1990;06;47249;49907;16943;265,5;946,9;2427;43
1990;06;4722;5001;121;18;17,1;1811;172
1990;06;4637;4529;1499;24,7;26,2;1347;12
1990;07;1271;1438;0;8,5;19;106;2
1990;07;28330;34206;2647;443,9;977,3;673;31
1990;07;2627;2445;12;0;0;245;2
1990;07;917;1013;19;40,1;61,7;154;39
1990;07;101462;102688;12840;340,6;431,8;2665;74
1990;07;1406;1582;1831;0;0;317;0
1990;07;2088;2227;0;0;0;144;0
1990;07;2001;1480;925;27,8;48,7;265;81
1990;07;4871;4882;310;9,3;10;349;0
1990;07;118310;118649;7390;663,4;1312,5;2939;198
1990;07;20448;21754;1227;87,4;104;715;41
1990;07;30093;31117;0;1,2;15,7;569;0
1990;07;1394;1419;406;1,2;0,6;304;0
1990;07;557;558;0;0;0;90;0
1990;07;1361;1543;25;0;0,5;227;0
1990;07;27622;30861;6;16,1;37,9;593;0
1990;07;911;954;0;0;0;159;0
1990;07;3018;3389;1477;0;0;256;2
1990;07;41372;53273;414;105,1;482,9;1318;105
1990;07;18620;22375;1598;0;0;568;0
1990;07;15320;19038;158;0,1;0,6;697;1
1990;07;51181;64065;453;129,1;570,6;1763;225
1990;07;1894;2423;44;0,1;0;156;0
1990;07;9099;9151;427;214,5;220,1;804;248
1990;07;187313;159220;9631;1265,6;1185,8;5111;590
1990;07;1103;1621;35;0,1;0;105;0
1990;07;8462;8111;0;4,5;8,4;378;0
1990;07;891;958;0;0;0;105;0
1990;07;5192;2820;0;25,1;3,9;84;4
1990;07;2442;2376;0;0,2;0,7;164;0
1990;07;222759;202379;29478;1731,5;2259,6;5001;576
1990;07;293968;295189;12900;1178,4;1293,4;11789;222
